Company Name,Industry,Listing Date,Current Price,Price Change (%),Offering Price,Change from Offering Price (%),Opening Price,Opening/Offering (%),First Day Closing Price,Financial Date,Annual Data,Operating Profit Margin,ROE,Debt Ratio,Quick Ratio,EPS,Competition Rate,Interest Rate,y
비씨엔씨,반도체와반도체장비,2022-03-03,8560.0,-3.06,13000.0,-34.15,26000.0,100.0,22600.0,2021.12,V,14.36,36.38,133.4,34.13,762.0,2686.22,1.25,73.84615384615385
노을,건강관리장비와용품,2022-03-03,2885.0,-6.33,10000.0,-71.15,9670.0,-3.3,9210.0,2021.12,V,-775.29,228.32,974.9,82.34,-717.0,8.7,1.25,-7.9
모아데이타,소프트웨어,2022-03-10,1522.0,-3.67,20000.0,-92.39,18000.0,-10.0,16050.0,2021.12,V,13.79,8.67,28.63,210.03,54.0,23.39,1.25,-19.75
유일로보틱스,기계,2022-03-18,30100.0,1.69,10000.0,201.0,20000.0,100.0,26000.0,2021.12,V,9.13,26.02,82.14,97.54,647.0,2535.3,1.25,160.0
공구우먼,"섬유,의류,신발,호화품｜",2022-03-23,3865.0,-3.38,20000.0,-80.68,21600.0,8.0,20000.0,2021.12,V,21.82,36.23,16.34,370.79,580.0,7.53,1.25,0.0
세아메카닉스,전자장비와기기,2022-03-24,2435.0,-3.18,4400.0,-44.66,8800.0,100.0,7600.0,2021.12,V,5.07,16.94,35.23,149.66,284.0,2475.87,1.25,72.72727272727273
코람코더원리츠(유가),부동산,2022-03-28,4600.0,-2.13,5000.0,-8.0,5260.0,5.2,5410.0,2023.08,,51.82,1.0,153.97,0.44,45.0,451.0,1.25,8.200000000000001
지투파워,전기장비,2022-04-01,8850.0,-2.75,16400.0,-46.04,32800.0,100.0,35250.0,2021.12,V,7.94,4.92,48.14,218.4,49.0,2029.37,1.25,114.9390243902439
포바이포,방송과엔터테인먼트,2022-04-28,5420.0,-0.91,17000.0,-68.12,34000.0,100.0,44200.0,2021.12,V,18.02,18.78,21.79,547.56,577.0,3763.37,1.5,160.0
대명에너지,에너지장비및서비스｜,2022-05-16,10350.0,-3.81,15000.0,-31.0,15450.0,3.0,13950.0,2021.12,V,34.45,53.38,178.96,132.58,1583.0,151.58,1.5,-7.000000000000001
가온칩스,반도체와반도체장비,2022-05-20,31100.0,-3.42,14000.0,122.14,24150.0,72.5,27100.0,2021.12,V,19.24,37.77,69.21,145.78,677.0,2183.29,1.5,93.57142857142857
마스턴프리미어리츠(유가),부동산,2022-05-31,1764.0,-0.95,5000.0,-64.72,5750.0,15.0,6010.0,2022.03,,95.73,0.49,7.86,0.52,520.0,669.2,1.75,20.200000000000003
청담글로벌,인터넷과카탈로그소매,2022-06-03,5090.0,-0.59,6000.0,-15.17,6500.0,8.33,7640.0,2021.12,V,6.71,37.97,77.25,377.14,451.0,42.1,1.75,27.333333333333332
범한퓨얼셀, 전기장비｜,2022-06-17,13430.0,-4.48,40000.0,-66.43,41000.0,2.5,47950.0,2021.12,V,13.38,14.62,127.22,106.23,498.0,710.37,1.75,19.875
비큐AI(구 비플라이소프트),소프트웨어,2022-06-20,1045.0,-3.69,10000.0,-89.55,10500.0,5.0,9050.0,2021.12,V,-5.54,-74.56,294.59,130.99,-28.0,26.86,1.75,-9.5
위니아에이드,전문소매｜,2022-06-23,1691.0,0.0,16200.0,-89.56,14600.0,-9.88,11000.0,2021.12,V,7.08,28.98,183.22,75.8,2501.0,111.26,1.75,-32.098765432098766
보로노이,제약,2022-06-24,74100.0,-6.68,40000.0,85.25,36000.0,-10.0,29350.0,2021.12,V,-437.21,-110.7,66.74,70.97,-1891.0,5.57,1.75,-26.625
레이저쎌,반도체와반도체장비,2022-06-24,3745.0,-3.73,16000.0,-76.59,20600.0,28.75,17350.0,2021.12,V,-8.23,691.09,33.42,322.09,-1445.0,1845.11,1.75,8.4375
넥스트칩,반도체와반도체장비,2022-07-01,13450.0,-6.92,13000.0,3.46,17150.0,31.92,14300.0,2021.12,V,-55.06,-112.5,17.86,567.01,-1690.0,1727.38,1.75,10.0
코난테크놀로지,소프트웨어,2022-07-07,25100.0,0.4,25000.0,0.4,35300.0,41.2,30600.0,2021.12,V,12.55,20.24,74.7,336.13,234.0,1386.86,1.75,22.400000000000002
영창케미칼,화학제품,2022-07-14,12750.0,-6.59,18600.0,-31.45,18400.0,-1.08,16450.0,2021.12,V,3.37,-3.03,194.84,21.92,-102.0,682.13,2.25,-11.559139784946236
에이치피에스피,반도체와반도체장비,2022-07-15,26500.0,0.19,25000.0,6.0,50000.0,100.0,43250.0,2021.12,V,49.28,81.39,73.69,190.94,532.0,1159.05,2.25,73.0
루닛,건강관리기술,2022-07-21,68000.0,1.49,30000.0,126.67,30800.0,2.67,40000.0,2021.12,V,-688.36,114.58,4505.83,102.16,-4621.0,8.99,2.25,33.33333333333333
에이프릴바이오,제약,2022-07-28,16250.0,-3.45,16000.0,1.56,19500.0,21.88,21850.0,2021.12,V,19.0,-242.98,7.37,1468.26,-4979.0,4.76,2.25,36.5625
성일하이텍,전기제품,2022-07-28,44850.0,-2.5,50000.0,-10.3,99900.0,99.8,88200.0,2021.12,V,11.45,-13.89,82.7,63.47,-1122.0,1207.1,2.25,76.4
아이씨에이치,전자장비와기기,2022-07-29,3150.0,-2.93,34000.0,-90.74,30600.0,-10.0,27000.0,2021.12,V,24.59,41.94,55.99,137.77,749.0,2.51,2.25,-20.588235294117645
수산인더스트리(유가),에너지장비및서비스,2022-08-01,21950.0,-2.23,35000.0,-37.29,33000.0,-5.71,32500.0,2021.12,V,17.45,21.9,44.81,298.08,5286.0,3.4,2.25,-7.142857142857142
새빗켐,전기제품,2022-08-04,17160.0,-5.4,35000.0,-50.97,70000.0,100.0,72500.0,2021.12,V,16.59,37.59,63.08,144.75,1222.0,1724.96,2.25,107.14285714285714
에이치와이티씨,전기제품,2022-08-09,3880.0,0.0,15000.0,-74.13,14700.0,-2.0,15850.0,2021.12,V,20.59,56.63,112.79,236.58,994.0,432.58,2.25,5.666666666666666
쏘카(유가),도로와철도운송,2022-08-22,17900.0,4.37,28000.0,-36.07,28000.0,0.0,26300.0,2021.12,V,-7.26,5.83,187.05,66.1,236.0,14.4,2.25,-6.071428571428571
대성하이텍,기계,2022-08-22,3685.0,0.14,9000.0,-59.06,13000.0,44.44,14600.0,2021.12,V,10.68,28.71,478.56,37.12,725.0,1136.4,2.25,62.22222222222222
오픈엣지테크놀로지,반도체와반도체장비,2022-09-26,11250.0,-2.09,10000.0,12.5,10800.0,8.0,10050.0,2021.12,V,-213.18,-8.314513728,75.63,312.76,-928.0,78.17,2.5,0.5
알피바이오, 제약,2022-09-29,5400.0,-3.4,13000.0,-58.46,19300.0,48.46,18300.0,2021.12,V,5.12,6.05,121.38,39.37,557.0,1518.2,2.5,40.76923076923077
더블유씨피,전기제품,2022-09-30,12410.0,-5.56,60000.0,-79.32,54000.0,-10.0,41700.0,2021.12,V,21.81,-0.81,55.27,148.3,-566.0,7.25,2.5,-30.5
선바이오, 생물공학,2022-10-05,6660.0,1.37,11000.0,-39.45,12050.0,9.55,10600.0,2021.12,V,33.89,2.35,28.08,369.51,25.0,186.28,2.5,-3.6363636363636362
KB스타리츠(유가),부동산,2022-10-06,4045.0,-1.94,5000.0,-19.1,4500.0,-10.0,4340.0,2022.06,V,1.0,-0.12,13.44,8.44,-75.0,2.06,2.5,-13.200000000000001
모델솔루션,기계,2022-10-07,9100.0,-2.15,27000.0,-66.3,29500.0,9.26,30900.0,2021.12,V,14.61,30.75,80.89,251.66,1391.0,1514.8,2.5,14.444444444444443
이노룰스,소프트웨어,2022-10-07,6000.0,-0.17,12500.0,-52.0,13150.0,5.2,15850.0,2021.12,V,18.95,27.79,35.16,242.41,754.0,781.31,2.5,26.8
오에스피,식품,2022-10-14,2840.0,-2.57,8400.0,-66.19,10850.0,29.17,10050.0,2021.12,V,17.86,21.4,24.17,280.6,416.0,1018.61,3.0,19.642857142857142
에스비비테크,기계,2022-10-17,17780.0,5.58,12400.0,43.39,23900.0,92.74,31050.0,2021.12,V,-32.85,-67.25,167.32,87.18,-787.0,1657.6,3.0,150.40322580645162
탑머티리얼,전자장비와기기,2022-10-18,28900.0,-4.3,30000.0,-3.67,33500.0,11.67,37000.0,2021.12,V,15.11,1.44,21.9,480.63,768.0,11.95,3.0,23.333333333333332
샤페론,제약,2022-10-19,3615.0,-6.59,5000.0,-27.7,9000.0,80.0,8630.0,2021.12,V,-2001.81,166.7,10.76,2072.29,-1803.0,9.39,3.0,72.6
핀텔,소프트웨어,2022-10-20,1844.0,-2.64,8900.0,-79.28,15300.0,71.91,10850.0,2021.12,V,-10.39,-94.31,118.89,353.84,-341.0,6.42,3.0,21.910112359550563
플라즈맵,건강관리장비와용품,2022-10-21,1390.0,-2.11,7000.0,-80.14,8420.0,20.29,6700.0,2021.12,V,-167.66,105.1,143.83,235.88,-2231.0,2.76,3.0,-4.285714285714286
산돌,소프트웨어,2022-10-27,5970.0,-1.16,18800.0,-68.24,24150.0,28.46,20850.0,2021.12,V,39.86,3.09,67.65,145.39,88.0,113.53,3.0,10.904255319148938
저스템,반도체와반도체장비,2022-10-28,5890.0,-5.61,10500.0,-43.9,11000.0,4.76,12400.0,2021.12,V,16.05,27.28,93.9,116.53,1109.0,82.63,3.0,18.095238095238095
큐알티,반도체와반도체장비,2022-11-02,11410.0,-3.96,44000.0,-74.07,43000.0,-2.27,38350.0,2021.12,V,22.98,44.11,79.69,168.78,1569.0,7.44,3.0,-12.840909090909092
제이아이테크,반도체와반도체장비,2022-11-04,2880.0,-2.04,16000.0,-82.0,14400.0,-10.0,11900.0,2021.12,V,27.46,27.09,51.21,125.19,229.0,29.59,3.0,-25.624999999999996
